Driving home from work,,,,
HR,Stress,RR,SBP,DPB
75,64,12,136,82
75,63,12,135,82
74,62,12,135,82
74,61,12,135,82
74,60,12,136,82
74,59,12,136,82
74,59,12,135,82
74,58,12,135,82
74,57,12,136,82
74,56,12,136,82
74,55,12,135,82
74,54,12,135,82
74,54,13,135,82
75,53,12,136,82
75,52,12,136,82
75,52,12,136,82
74,51,12,136,82
74,51,13,136,82
74,50,13,136,82
73,50,12,136,82
73,49,12,136,82
73,49,12,136,82
73,49,12,135,82
73,49,13,135,82
73,49,12,135,82
73,48,12,135,82
73,48,12,135,82
74,48,12,135,82
74,49,12,135,82
75,49,12,135,82
75,49,12,135,82
76,49,12,136,82
76,49,12,136,82
76,49,12,136,82
76,49,12,136,82
76,49,12,136,82
76,49,12,136,82
75,50,12,136,82
75,50,12,136,82
74,50,12,136,82
74,50,12,136,82
73,51,12,136,82
73,51,12,136,82
73,51,12,136,82
73,51,12,136,82
73,52,12,135,82
73,52,12,136,82
73,52,12,136,82
73,52,12,136,82
73,53,12,136,82
73,53,12,136,82
73,53,12,136,82
72,53,12,136,82
72,53,12,136,82
72,53,13,136,82
72,54,13,136,82
72,54,12,136,82
71,54,12,136,82
71,54,12,136,82
71,54,13,136,82
71,54,13,136,82
71,55,13,135,82
71,55,13,135,82
72,55,13,135,82
72,55,13,135,82
72,55,13,135,82
72,55,13,135,82
73,55,13,135,82
73,55,13,135,82
73,55,13,136,82
73,56,13,135,82
73,56,13,135,82
73,56,13,135,82
73,55,13,136,82
73,55,13,135,82
73,55,13,135,82
73,55,14,135,82
73,55,13,135,82
73,55,13,135,82
73,55,13,135,82
72,55,13,135,82
72,55,14,135,82
72,54,14,135,82
72,54,13,135,82
73,54,13,135,82
73,54,13,135,82
73,54,14,135,82
73,53,14,136,82
73,53,13,136,82
73,53,13,135,82
72,52,13,135,82
72,52,14,135,82
72,52,13,135,82
72,51,13,135,82
73,51,13,135,82
73,51,13,135,82
73,50,14,135,82
73,50,13,135,82
73,49,13,135,82
73,49,13,135,82
74,48,14,135,82
74,48,13,136,82
74,47,13,136,82
74,46,13,136,82
74,46,14,136,83
74,46,14,137,83
75,45,13,137,83
75,45,13,137,83
75,44,13,137,83
75,44,13,137,83
75,44,13,137,83
75,44,12,137,83
75,44,12,137,83
75,44,12,137,83
75,44,11,136,83
75,44,11,136,82
75,44,12,136,82
75,44,12,136,82
75,44,12,136,82
75,44,11,135,82
74,44,11,135,82
74,44,12,135,82
74,44,12,135,82
74,44,11,135,82
74,45,11,135,82
73,45,12,135,82
73,45,12,135,82
73,45,12,135,82
73,45,11,135,82
72,45,11,135,82
72,45,11,135,82
72,45,12,135,82
72,45,11,135,82
71,45,11,134,81
71,45,11,134,81
71,45,11,134,81
71,45,11,135,82
71,44,11,135,82
70,44,11,135,82
70,44,11,134,81
70,43,12,134,81
70,43,11,135,82
70,42,11,135,82
71,41,11,134,81
71,41,11,134,81
71,40,12,134,81
71,39,11,134,81
72,39,11,134,81
72,38,11,134,81
72,37,11,134,81
73,37,12,134,81
73,36,11,134,81
73,35,11,134,81
73,35,11,134,81
73,34,11,134,81
73,34,12,134,81
73,33,11,134,81
73,32,11,134,81
72,32,11,134,81
72,32,11,134,81
72,31,10,134,81
72,31,11,134,81
72,31,11,134,81
72,30,11,134,81
72,30,10,134,81
73,30,10,134,81
73,29,11,134,81
73,29,11,134,81
73,29,11,134,81
72,29,11,134,81
72,28,11,134,81
72,28,11,134,81
72,28,12,134,81
71,28,12,134,81
71,28,12,134,81
71,27,12,134,81
70,27,11,134,81
70,27,12,134,81
70,27,12,134,81
70,27,12,134,81
70,27,12,134,81
70,27,11,134,81
69,27,11,134,81
69,28,12,134,81
69,28,12,134,81
69,28,11,134,81
69,29,11,134,81
69,29,11,134,81
69,29,11,134,81
69,30,12,134,81
69,30,12,134,81
69,30,11,134,81
69,31,11,134,81
69,31,11,134,81
69,32,12,134,81
69,32,12,134,81
69,33,11,134,81
70,33,11,134,81
70,33,11,134,81
70,34,12,134,81
71,34,11,134,81
71,35,11,134,81
71,35,11,134,81
71,36,11,133,81
71,36,12,134,81
71,36,11,134,81
71,37,11,134,81
72,37,11,133,81
72,37,12,133,81
72,38,12,134,81
72,38,11,133,81
73,38,11,133,81
73,38,11,133,81
73,38,12,134,81
74,38,12,134,81
74,38,11,134,81
74,38,11,134,81
74,38,12,134,81
74,38,12,134,81
74,38,12,134,81
74,38,12,134,81
74,38,11,134,81
74,37,11,134,81
74,37,12,134,81
73,37,12,134,81
73,37,13,134,81
73,36,12,134,81
73,36,12,134,81
73,36,12,134,81
72,36,12,134,81
72,35,13,134,81
73,35,13,134,81
73,35,12,134,81
73,35,12,134,81
73,35,12,134,81
73,34,12,134,81
74,34,13,134,81
74,34,12,134,81
74,34,12,134,81
74,34,12,134,81
73,33,12,134,81
73,33,12,134,81
73,33,13,134,81
73,33,12,134,81
72,32,12,134,81
72,32,12,134,81
72,32,12,134,81
71,31,13,134,81
71,31,13,134,81
70,31,12,134,81
70,30,12,134,81
70,30,12,134,81
69,29,12,134,81
70,29,13,134,81
70,29,12,134,81
70,29,12,134,81
70,28,12,134,81
70,28,13,134,81
71,28,13,134,81
71,28,12,134,81
72,28,12,134,81
72,28,12,134,81
73,28,12,134,81
74,28,12,134,81
75,29,11,134,81
76,29,11,134,81
77,29,12,134,81
78,29,12,135,82
79,29,11,135,82
79,30,11,135,82
80,30,11,135,82
80,30,11,135,82
79,31,11,135,82
79,31,10,135,82
78,31,10,135,82
78,31,11,135,82
77,31,11,135,82
77,32,10,134,81
76,32,10,134,81
76,32,10,134,81
75,32,11,134,81
74,32,11,134,81
74,32,11,134,81
74,32,11,134,81
73,33,11,135,82
73,33,10,135,82
73,33,10,135,82
73,34,11,135,82
73,34,11,135,82
73,34,11,135,82
72,35,10,135,82
72,35,11,135,82
72,36,11,135,82
72,36,11,135,82
72,36,11,134,81
72,37,12,134,81
72,37,11,135,82
72,37,11,135,82
73,38,11,134,81
73,38,11,134,81
73,38,12,135,82
74,39,12,135,82
74,39,11,135,82
74,39,11,135,82
75,39,12,135,82
75,39,12,135,82
75,39,12,135,82
75,39,11,135,82
75,39,12,135,82
75,39,12,135,82
75,39,12,135,82
75,39,12,135,82
75,39,12,135,82
75,39,12,135,82
74,38,12,135,82
74,38,12,135,82
74,38,12,135,82
74,38,11,135,82
74,37,12,135,82
74,37,12,135,82
75,37,12,135,82
75,37,12,135,82
75,37,12,135,82
75,37,13,135,82
75,37,13,135,82
74,37,13,135,82
74,36,12,135,82
74,36,12,135,82
73,36,12,135,82
73,36,12,134,81
73,36,13,134,81
74,36,13,134,81
74,35,13,135,82
74,35,13,135,82
74,35,13,135,82
74,35,12,134,81
74,35,13,134,81
74,35,13,135,82
75,34,13,135,82
75,34,13,135,82
75,34,12,135,82
75,34,12,135,82
75,34,13,135,82
74,35,12,135,82
74,35,12,135,82
73,35,12,135,82
73,35,12,135,82
73,36,12,135,82
72,36,12,135,82
72,37,12,135,82
72,37,12,134,81
71,37,11,135,82
72,38,11,135,82
72,38,11,135,82
72,39,11,135,82
73,39,11,135,82
74,39,11,135,82
75,40,11,136,83
75,40,11,136,83
75,41,11,136,83
75,41,10,136,83
75,41,10,137,83
75,42,10,137,83
75,42,10,137,83
75,43,9,137,83
75,43,10,138,83
75,43,10,138,84
74,43,10,138,84
74,44,9,138,84
74,44,9,138,84
74,44,9,138,84
74,45,9,139,84
75,45,9,139,84
75,45,8,139,84
75,45,9,139,84
75,45,9,140,85
76,45,9,140,85
76,46,9,140,85
75,46,8,140,85
75,46,8,140,85
75,46,8,140,85
75,46,9,140,85
75,46,9,140,85
74,46,8,140,85
74,46,8,140,85
74,46,8,140,85
74,46,9,140,85
74,46,9,140,85
73,46,9,140,85
73,46,9,139,84
73,45,8,139,84
73,45,8,139,84
73,45,9,139,84
73,45,9,139,84
73,44,9,139,84
73,44,9,139,84
72,44,9,139,84
72,43,9,139,84
72,43,9,139,84
72,43,9,139,84
72,43,9,138,84
71,43,9,138,84
71,43,8,138,83
71,43,9,138,83
71,43,9,137,83
71,43,9,137,83
71,43,9,137,83
71,43,8,136,83
71,43,9,136,83
72,43,9,136,83
72,43,9,136,83
72,43,9,136,82
72,43,10,136,82
72,43,10,136,82
72,43,10,136,82
72,43,9,136,82
72,43,9,136,82
72,43,9,136,82
72,43,10,136,82
72,42,10,136,82
72,42,10,136,82
71,42,10,135,82
71,42,10,135,82
70,42,11,135,82
70,41,11,135,82
70,41,10,135,82
69,41,10,135,82
69,40,10,134,81
68,40,11,134,81
68,40,11,134,81
68,39,11,134,81
67,39,11,134,81
67,38,11,134,81
67,38,12,134,81
66,37,11,134,81
66,37,11,134,81
66,37,11,134,81
65,36,11,134,81
65,36,11,135,82
65,36,12,135,82
66,35,12,135,82
66,35,11,135,82
66,35,11,134,81
66,35,11,134,81
66,34,11,134,81
66,34,12,134,81
66,34,11,134,81
66,34,11,134,81
66,34,11,133,81
66,34,11,133,81
67,33,12,133,81
67,33,12,133,81
67,33,11,133,81
67,33,11,133,81
67,33,11,133,81
67,32,12,133,80
68,32,11,133,81
68,32,11,134,81
68,32,11,134,81
68,32,11,134,81
68,33,11,134,81
68,33,12,134,81
68,33,12,133,81
68,33,11,133,81
68,33,11,133,81
68,34,11,133,80
68,34,11,133,80
68,34,12,133,80
69,34,11,133,80
69,34,11,133,81
69,35,11,133,81
69,35,11,133,81
70,35,11,133,80
70,35,11,133,80
70,35,11,133,80
70,35,11,132,80
70,35,11,132,80
70,35,11,132,80
71,35,10,132,80
71,35,10,132,80
71,35,10,132,80
71,35,10,133,80
72,36,11,133,80
72,36,10,133,81
73,36,10,134,81
73,36,10,134,81
73,36,10,134,81
73,37,10,134,81
73,37,9,134,81
73,37,10,135,82
73,38,10,135,82
73,38,10,134,81
73,38,10,134,81
73,39,10,135,82
73,39,10,135,82
73,39,10,134,81
73,40,10,134,81
73,40,10,134,81
74,40,11,134,81
74,40,10,134,81
74,40,10,134,81
74,41,10,134,81
73,41,10,134,81
73,41,11,134,81
73,41,11,134,81
73,41,10,134,81
72,41,10,134,81
72,41,10,134,81
72,41,11,134,81
71,41,11,134,81
71,41,10,134,81
71,41,10,134,81
71,41,10,134,81
71,41,10,134,81
71,41,11,134,81
71,41,10,134,81
70,41,10,134,81
70,41,10,134,81
71,41,10,134,81
71,41,10,134,81
71,41,11,134,81
72,41,10,134,81
72,41,10,134,81
72,41,10,134,81
73,41,10,134,81
73,41,10,134,81
73,41,10,134,81
74,41,9,134,81
74,41,10,134,81
75,41,10,134,81
75,41,10,135,82
75,41,10,135,82
75,41,9,135,82
75,41,10,135,82
75,41,10,135,82
75,41,10,135,82
75,41,10,135,82
75,41,10,135,82
75,41,11,136,82
75,41,11,135,82
75,41,11,135,82
75,40,11,135,82
75,40,10,135,82
76,40,11,135,82
76,40,11,135,82
76,40,11,135,82
76,40,12,135,82
76,39,12,135,82
76,39,12,135,82
75,39,11,135,82
75,39,11,135,82
75,38,11,135,82
74,38,12,135,82
74,38,11,135,82
74,38,11,135,82
74,37,11,135,82
74,37,11,135,82
74,37,12,135,82
74,37,11,135,82
74,36,11,135,82
74,36,11,135,82
74,36,11,134,81
74,36,11,135,82
75,35,11,135,82
75,35,11,135,82
74,35,11,134,81
74,35,11,134,81
75,34,12,134,81
75,34,11,135,82
75,34,11,134,81
75,34,11,136,82
75,34,11,135,82
75,34,12,136,82
75,34,12,136,82
75,34,11,136,82
75,34,11,135,82
75,34,11,135,82
75,34,12,135,82
75,34,12,135,82
75,33,12,135,82
75,33,11,135,82
75,33,11,135,82
75,33,11,134,81
75,33,12,134,81
75,33,12,134,81
75,33,12,134,81
74,33,12,134,81
74,32,12,134,81
74,32,12,134,81
74,32,12,134,81
74,31,12,134,81
74,31,12,134,81
74,31,12,134,81
74,30,11,134,81
74,30,11,134,81
74,30,12,134,81
74,29,12,134,81
74,29,12,134,81
74,29,11,134,81
74,28,12,134,81
74,28,12,134,81
74,28,12,135,82
74,28,12,134,81
74,27,12,135,82
75,27,12,135,82
75,27,12,135,82
75,27,11,135,82
75,27,11,135,82
75,27,12,135,82
76,27,12,135,82
76,27,12,135,82
76,27,12,135,82
76,27,11,135,82
76,27,11,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,27,12,135,82
77,26,12,135,82
77,26,12,135,82
77,26,12,135,82
76,26,12,135,82
76,25,11,135,82
76,25,12,135,82
76,24,12,135,82
76,24,12,135,82
76,24,12,135,82
76,23,11,135,82
75,23,11,135,82
75,23,11,135,82
75,22,11,134,81
74,22,11,134,81
74,22,11,134,81
74,21,11,133,81
74,21,11,134,81
75,21,11,134,81
75,20,11,135,82
76,20,11,135,82
76,20,11,136,82
76,19,11,136,82
77,19,11,136,83
77,19,11,137,83
77,18,11,137,83
77,18,10,136,83
77,18,10,137,83
77,18,10,137,83
77,17,10,137,83
76,17,10,137,83
76,17,10,137,83
76,17,10,137,83
76,18,10,137,83
76,18,10,136,83
75,18,10,136,83
75,18,10,136,82
76,19,9,135,82
76,19,9,135,82
76,19,10,135,82
76,20,10,135,82
76,20,9,135,82
76,21,9,135,82
76,21,9,134,81
76,21,10,135,82
76,22,10,135,82
76,22,9,135,82
75,22,9,134,81
75,23,9,134,81
76,23,9,133,81
76,24,9,133,81
76,24,9,133,81
76,24,8,133,81
76,25,8,133,81
76,25,8,133,81
75,25,7,133,81
75,25,8,132,80
75,26,8,132,80
75,26,8,132,80
74,26,8,132,80
74,26,8,132,80
74,26,7,132,80
73,27,7,131,80
73,27,8,131,79
73,27,8,131,79
73,27,8,131,80
73,28,7,131,80
74,28,7,131,79
73,29,7,131,79
73,29,8,131,79
73,29,8,131,79
73,30,8,131,79
72,30,8,131,79
72,30,8,131,79
72,31,8,131,79
71,31,8,131,79
71,32,8,131,79
71,32,8,131,79
72,32,8,131,79
72,33,8,131,79
72,33,8,130,79
73,34,7,131,79
73,34,8,131,79
74,34,8,131,79
74,35,8,131,79
75,35,8,131,79
75,36,8,131,79
76,36,9,131,79
76,36,9,131,80
76,37,9,131,80
76,37,9,131,80
76,38,10,131,80
76,38,10,132,80
76,38,9,132,80
75,39,9,132,80
75,39,9,131,80
75,40,9,131,80
74,40,9,131,80
74,41,10,131,80
74,41,9,131,80
74,41,9,131,80
74,42,10,132,80
74,42,10,132,80
74,43,10,132,80
74,43,9,132,80
74,43,9,132,80
74,44,9,132,80
75,44,9,132,80
75,44,9,132,80
74,45,9,132,80
75,45,9,132,80
75,45,10,132,80
75,45,10,132,80
75,45,10,132,80
75,45,11,132,80
76,45,11,133,81
76,45,10,133,81
76,44,10,133,80
76,44,10,133,80
76,44,10,133,81
77,44,10,134,81
77,44,11,134,81
77,44,11,134,81
77,43,10,134,81
76,43,10,134,81
76,43,10,134,81
76,43,10,134,81
76,43,10,134,81
76,43,10,134,81
75,42,10,134,81
75,42,10,134,81
75,42,10,133,81
75,42,10,134,81
75,41,10,134,81
75,41,10,134,81
75,41,9,133,81
75,41,9,133,81
75,40,9,133,81
74,40,9,133,81
74,40,9,133,81
74,40,10,133,81
74,40,10,133,80
74,39,9,133,80
74,39,9,133,80
74,39,9,133,80
74,39,9,132,80
74,38,9,132,80
74,38,8,132,80
74,38,9,132,80
74,37,9,132,80
73,37,9,132,80
73,36,8,132,80
73,36,8,132,80
73,35,9,132,80
73,35,9,132,80
73,34,9,132,80
72,33,9,132,80
72,33,10,132,80
72,32,9,131,80
71,32,9,132,80
71,32,9,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
71,32,8,132,80
