Driving to a meeting (looking for location at the end),,,,
HR,Stress,RR,SBP,DBP
68,46,11,134,81
69,46,11,134,81
69,46,12,136,82
70,46,12,136,82
70,46,12,137,83
70,46,11,137,83
71,47,12,138,84
71,47,12,138,84
71,47,12,138,84
70,47,12,138,83
70,47,12,137,83
70,47,13,137,83
70,47,13,137,83
70,47,12,136,83
70,47,12,136,82
69,47,12,137,83
69,47,12,137,83
69,47,12,137,83
69,47,12,139,85
69,47,12,140,85
69,47,12,140,85
69,47,13,140,85
70,47,12,139,84
70,47,12,139,84
70,47,12,139,84
70,47,12,138,84
70,47,12,138,84
70,47,12,138,84
70,47,12,138,83
70,47,12,137,83
71,47,12,137,83
71,47,11,137,83
71,47,11,137,83
71,48,11,137,83
71,48,11,137,83
71,48,12,137,83
71,48,11,136,83
71,48,11,136,83
72,48,11,136,82
72,48,11,136,82
72,48,12,136,82
73,49,11,136,82
73,49,11,137,83
73,49,11,137,83
73,49,11,137,83
73,49,11,136,83
73,49,11,136,83
73,49,11,136,83
72,49,10,136,82
72,49,10,136,82
72,49,11,136,82
72,48,11,136,82
71,48,11,137,83
71,48,11,137,83
71,48,10,137,83
71,48,10,136,83
71,48,10,136,83
71,47,9,136,83
71,47,9,136,82
70,47,9,137,83
70,47,9,137,83
70,47,10,136,83
71,47,9,137,83
70,47,9,136,83
70,47,9,136,82
70,47,9,136,82
70,47,9,136,82
70,47,9,136,82
70,47,9,137,83
71,48,9,137,83
71,48,10,137,83
71,48,9,137,83
71,48,9,138,84
71,48,9,139,84
71,48,9,138,84
71,48,10,140,85
71,48,10,139,84
72,49,9,140,85
72,49,9,141,86
72,49,10,141,85
72,48,10,142,86
72,48,9,142,86
72,48,9,141,86
72,48,9,141,85
72,47,10,142,86
72,47,10,142,86
73,47,10,141,86
73,46,10,142,86
74,46,11,143,87
74,46,11,144,87
75,45,11,143,87
75,45,11,143,87
75,45,11,142,86
75,44,12,142,86
75,44,12,143,87
75,44,11,143,86
74,43,11,142,86
74,43,11,143,87
74,43,11,143,86
73,42,12,142,86
73,42,11,141,86
73,42,11,143,86
72,41,11,142,86
72,41,11,142,86
72,41,10,141,86
71,40,11,141,85
71,40,11,140,85
71,39,11,140,85
71,39,11,139,85
71,38,11,139,84
70,38,10,139,84
70,37,10,139,84
70,37,10,139,84
70,37,10,140,85
70,36,11,139,85
70,36,11,139,84
70,36,11,139,84
69,35,11,139,84
69,35,11,138,84
69,35,12,138,84
69,35,12,139,84
69,34,11,141,85
69,34,11,141,85
69,34,12,140,85
69,34,12,140,85
69,33,12,140,85
69,33,11,139,84
69,33,12,140,85
68,33,12,140,85
68,32,12,140,85
68,32,11,139,84
68,32,11,139,84
69,32,11,139,84
69,32,12,139,84
69,31,12,139,84
69,31,11,138,84
69,31,12,138,83
69,31,12,138,83
69,31,12,137,83
69,31,11,137,83
69,31,11,137,83
69,31,12,137,83
69,31,12,138,84
69,31,12,138,84
69,31,11,139,84
69,30,12,139,84
69,30,12,139,84
70,30,12,138,84
70,30,11,138,84
70,30,11,138,83
70,30,11,139,84
70,30,11,139,84
70,30,12,139,84
70,29,11,139,84
70,29,11,138,84
70,29,11,138,84
70,28,11,138,84
70,28,11,138,83
71,28,11,137,83
71,27,10,139,84
71,27,11,140,85
71,26,11,139,84
71,26,11,139,84
71,26,11,139,84
71,25,11,138,84
71,25,11,138,84
71,25,11,138,83
71,24,11,138,83
72,24,11,137,83
72,24,11,138,84
72,23,11,138,84
72,23,11,138,84
72,23,11,140,85
72,22,11,139,84
72,22,10,139,84
73,22,11,139,84
73,22,11,139,84
73,21,11,138,84
72,21,11,138,84
72,21,10,138,84
73,21,10,138,84
73,20,11,138,84
73,20,11,138,84
73,20,10,138,84
73,20,10,138,84
73,20,11,138,84
73,19,11,138,84
74,19,10,138,84
74,19,10,139,84
74,19,11,139,84
74,19,11,139,84
74,19,11,139,84
74,19,11,138,84
74,19,10,138,84
74,19,10,138,84
74,19,10,138,84
74,19,10,137,83
74,19,10,137,83
74,19,10,137,83
74,19,10,139,84
74,19,10,138,84
73,19,9,139,84
73,19,10,142,86
73,19,10,141,86
72,19,10,141,86
72,18,9,141,85
72,18,9,140,85
71,18,10,140,85
71,18,10,140,85
71,18,10,139,84
71,18,10,139,84
71,18,10,138,84
71,18,10,138,84
71,17,10,138,84
71,17,10,138,84
71,17,10,138,83
71,17,10,137,83
71,17,11,137,83
71,17,11,137,83
71,17,11,141,85
70,17,10,139,85
70,17,10,139,84
71,17,10,139,84
71,17,10,139,84
71,18,10,140,85
71,18,9,139,84
72,18,10,139,84
73,18,10,139,84
74,18,10,139,84
75,19,10,139,84
76,19,10,140,85
78,19,11,140,85
79,19,11,144,87
80,19,11,144,87
81,19,11,144,87
81,19,10,144,87
81,19,10,144,87
81,19,10,143,87
80,19,10,144,87
81,19,10,144,87
80,20,10,144,87
79,20,9,143,87
79,20,9,143,86
78,20,10,143,87
78,20,10,145,88
78,20,9,144,87
77,21,9,143,87
76,21,9,144,88
75,21,9,144,87
74,22,8,143,86
73,22,9,142,86
72,23,9,141,86
72,23,9,141,85
71,24,9,140,85
71,24,9,141,85
71,25,10,141,85
71,25,9,141,86
71,25,9,141,85
71,26,9,140,85
71,26,9,140,85
72,27,10,139,84
73,27,10,139,84
74,28,9,139,84
74,28,9,139,84
75,29,10,139,84
76,29,10,139,84
76,30,10,139,84
76,30,9,138,84
77,31,9,139,84
77,31,9,139,84
77,32,9,138,84
76,32,9,139,84
76,33,9,139,84
76,33,9,139,84
76,33,9,139,84
75,34,9,138,84
75,34,9,138,84
74,34,9,137,83
74,35,9,137,83
74,35,9,137,83
73,35,9,137,83
72,35,9,137,83
72,35,9,137,83
71,36,9,136,82
71,36,10,135,82
71,36,10,135,82
70,36,9,135,82
70,37,9,135,82
70,37,9,135,82
70,37,9,135,82
70,37,10,135,82
71,38,9,135,82
71,38,9,136,82
71,38,9,136,82
71,39,9,135,82
72,39,10,135,82
72,39,10,135,82
72,40,10,135,82
72,40,10,135,82
72,40,11,135,82
72,41,11,134,81
72,41,11,134,81
72,42,11,134,81
72,42,10,134,81
72,42,10,135,82
73,43,10,135,82
73,43,10,135,82
73,43,10,134,81
73,44,11,134,81
72,44,11,136,82
72,44,10,136,82
72,45,10,136,83
72,45,10,136,82
72,45,10,136,82
72,45,11,136,82
72,46,10,135,82
72,46,10,135,82
72,46,10,135,82
73,46,11,135,82
73,46,11,136,82
73,46,10,136,82
74,46,10,135,82
74,46,10,136,82
75,46,10,136,82
75,46,10,136,83
76,46,10,137,83
76,46,10,137,83
75,46,10,137,83
75,46,10,137,83
75,46,10,138,84
74,46,10,138,84
74,46,10,138,84
73,46,9,139,84
73,47,9,139,84
73,47,9,140,85
72,47,9,139,84
72,47,9,138,84
72,47,9,138,84
72,47,9,137,83
72,47,9,137,83
73,47,9,137,83
74,48,9,136,83
75,48,9,136,83
76,48,10,137,83
78,48,9,138,83
79,48,9,138,83
80,48,9,138,84
81,49,9,138,84
81,49,9,138,84
82,49,9,138,84
82,49,8,138,83
82,49,8,137,83
81,50,8,137,83
81,50,8,137,83
80,50,9,137,83
80,51,8,137,83
79,51,8,136,83
78,51,8,136,82
77,52,8,136,82
77,52,8,136,82
76,52,8,136,82
75,53,8,136,82
75,53,8,136,82
74,53,8,136,83
73,54,8,136,82
73,54,8,135,82
73,54,8,135,82
73,55,8,136,82
72,55,7,136,82
73,55,7,136,82
73,56,7,136,83
73,56,7,136,82
74,56,8,136,82
74,56,8,136,82
75,57,7,136,82
75,57,7,136,82
75,57,7,136,82
75,57,8,137,83
75,57,7,137,83
75,57,7,139,84
75,57,7,140,85
75,57,7,140,85
74,57,7,139,84
74,57,7,138,84
74,56,6,139,84
73,56,7,139,84
73,56,7,139,85
72,56,7,139,84
72,56,7,138,84
72,56,7,138,84
72,56,7,139,84
72,56,7,141,86
72,57,7,141,85
72,57,7,140,85
72,57,8,140,85
72,57,8,140,85
71,57,8,139,84
71,58,7,139,84
72,58,7,138,84
72,58,7,138,84
72,58,7,138,84
72,59,8,138,83
72,59,8,137,83
72,59,7,137,83
72,59,7,136,83
72,60,7,136,83
72,60,7,136,82
72,60,7,137,83
72,61,7,138,84
72,61,7,138,83
72,61,8,137,83
72,61,8,137,83
71,62,8,138,84
71,62,8,139,84
71,62,7,138,84
71,62,8,138,84
71,62,8,138,83
71,61,8,138,83
71,61,8,137,83
71,61,7,137,83
71,60,8,137,83
71,60,8,137,83
71,59,8,137,83
71,59,8,136,82
71,59,8,137,83
71,58,9,137,83
72,58,9,137,83
71,57,9,138,84
72,57,9,137,83
72,56,10,139,84
72,56,10,138,84
72,55,10,138,84
72,55,9,138,83
72,54,10,137,83
72,53,10,137,83
72,53,10,138,84
72,52,10,137,83
72,51,9,137,83
72,50,9,136,83
72,49,10,136,83
72,49,10,136,83
72,48,10,136,83
72,47,11,136,83
72,46,11,136,82
72,45,11,136,83
73,44,10,136,82
73,44,10,136,82
72,43,10,136,82
72,42,10,136,83
72,41,10,136,82
72,41,10,136,82
73,40,10,137,83
73,39,10,137,83
74,39,10,137,83
75,38,10,138,83
76,38,10,138,84
78,38,10,141,85
80,37,10,141,85
82,37,10,142,86
84,37,10,143,87
87,37,11,143,87
88,37,10,144,87
89,37,10,144,87
90,37,10,144,87
90,37,10,144,87
90,37,10,144,87
90,38,11,145,88
90,38,11,145,88
90,38,11,145,88
89,38,11,144,87
88,39,10,143,87
87,39,10,144,87
86,39,10,143,87
85,40,10,144,87
83,40,10,144,87
82,41,9,142,86
80,41,10,142,86
79,42,10,141,86
78,42,10,141,85
77,42,10,140,85
76,43,9,139,84
75,43,10,139,84
75,44,10,138,84
74,44,10,138,84
74,44,10,138,83
73,45,9,137,83
73,45,10,137,83
73,46,10,137,83
72,46,10,138,83
72,46,9,137,83
72,47,9,137,83
72,47,10,137,83
72,48,10,138,84
72,48,9,138,83
72,48,9,137,83
72,49,9,137,83
72,49,10,138,84
72,49,10,138,83
72,50,10,137,83
72,50,9,137,83
72,50,10,137,83
72,51,10,139,84
71,51,9,138,84
71,51,9,139,84
71,51,10,139,84
71,52,10,139,84
70,52,10,138,84
70,52,10,138,83
70,52,10,139,84
69,52,11,139,84
69,52,11,138,84
69,52,11,138,84
69,52,11,137,83
69,52,11,137,83
69,52,10,137,83
69,52,11,137,83
69,52,11,136,82
69,52,11,136,82
70,52,11,136,82
70,52,11,136,82
70,52,10,136,82
70,52,10,135,82
71,52,10,135,82
71,52,10,135,82
71,52,10,136,83
72,52,10,136,82
72,52,10,136,82
72,52,10,136,82
72,52,10,137,83
72,52,10,137,83
72,51,10,136,82
73,51,10,136,82
74,51,10,136,83
75,51,10,137,83
76,51,11,138,83
77,51,11,138,84
78,51,10,139,84
78,51,10,139,84
77,51,10,139,84
77,51,10,139,84
77,51,10,139,84
76,51,9,139,84
75,51,9,139,84
74,51,9,139,84
73,51,9,138,84
72,50,9,138,84
71,50,8,138,83
70,50,9,137,83
69,49,9,137,83
68,49,9,137,83
68,49,9,136,83
67,49,8,135,82
67,49,8,135,82
67,49,8,135,82
67,49,9,134,81
67,50,9,134,81
67,50,8,135,82
67,50,8,136,83
67,51,8,136,82
67,51,8,136,82
67,51,7,138,83
68,52,7,137,83
68,52,7,137,83
68,52,7,136,83
68,53,7,136,83
68,53,7,136,82
68,53,7,136,82
68,54,7,137,83
67,54,8,137,83
67,54,7,136,83
67,55,7,136,82
67,55,7,136,82
67,55,7,136,83
67,56,7,135,82
68,56,7,135,82
68,56,6,135,82
69,56,6,136,82
70,56,7,136,82
71,56,7,136,82
71,56,7,136,82
72,56,7,136,82
72,56,7,136,82
72,56,7,136,82
72,56,7,136,82
72,55,7,135,82
72,55,7,134,81
72,55,6,134,81
71,55,7,134,81
71,54,7,134,81
71,54,7,134,81
70,54,7,134,81
70,55,7,133,81
69,55,7,137,83
69,55,8,138,83
68,55,7,137,83
68,55,7,137,83
68,56,7,137,83
68,56,7,136,83
68,56,7,136,82
68,57,7,135,82
69,57,8,135,82
69,57,8,135,82
69,58,8,135,82
69,58,8,134,81
69,58,8,134,81
70,59,9,134,81
70,59,9,134,81
71,59,8,134,81
71,60,8,135,82
71,60,8,134,81
71,60,8,134,81
72,61,9,134,81
72,61,9,134,81
72,61,9,133,81
72,62,8,133,80
73,62,8,133,81
73,62,8,133,81
74,62,8,135,82
74,63,9,135,82
74,63,9,135,82
74,63,9,136,82
74,63,9,136,82
74,63,9,136,83
74,63,9,136,82
74,63,8,136,82
74,63,8,136,82
74,62,8,137,83
74,62,9,136,83
74,61,8,136,82
74,61,8,136,82
74,60,8,136,82
73,60,8,135,82
73,59,9,135,82
72,58,9,135,82
72,57,9,136,82
71,57,9,136,82
70,56,10,135,82
70,56,9,135,82
69,55,9,135,82
68,55,9,134,81
68,55,9,134,81
68,55,9,134,81
67,55,9,134,81
67,55,9,134,81
68,55,9,133,81
68,55,9,133,81
69,55,10,133,80
69,55,9,133,80
70,56,9,133,80
70,56,9,132,80
70,56,10,132,80
71,56,10,133,80
70,57,10,132,80
70,57,9,132,80
71,57,9,132,80
71,58,9,132,80
72,58,9,132,80
72,58,9,132,80
73,58,10,134,81
75,59,10,134,81
76,59,9,135,82
78,59,9,136,82
80,59,9,137,83
82,59,9,137,83
84,60,9,139,84
86,60,9,140,85
87,60,9,141,85
88,60,9,141,85
89,60,9,141,86
89,60,9,142,86
89,60,9,142,86
90,60,8,142,86
89,60,8,141,86
89,60,8,141,86
88,60,8,142,86
86,60,8,142,86
85,60,8,141,86
83,60,8,142,86
81,60,7,142,86
79,60,8,141,85
76,60,8,140,85
74,60,8,140,85
72,60,8,139,84
70,60,8,139,84
69,60,9,138,84
68,60,9,141,85
67,60,9,144,87
67,61,8,143,87
67,61,8,142,86
68,61,8,142,86
70,61,8,142,86
73,61,9,142,86
76,61,8,142,86
78,62,8,142,86
79,62,8,141,86
80,62,8,141,85
79,62,7,141,85
78,62,7,142,86
78,63,7,141,86
77,63,7,141,85
77,63,7,140,85
76,63,8,139,84
75,63,8,139,84
74,64,8,138,84
73,64,8,137,83
72,64,8,137,83
71,64,7,137,83
70,64,7,136,83
69,65,7,136,82
69,65,7,136,82
69,65,6,136,82
69,65,7,137,83
68,65,7,137,83
68,65,7,136,82
68,66,8,137,83
69,66,8,137,83
69,66,8,137,83
69,66,8,138,84
69,66,7,139,84
69,67,7,139,84
69,67,8,139,84
69,67,8,138,84
69,67,8,138,83
69,67,8,137,83
69,68,8,138,84
69,68,8,138,84
70,68,8,138,83
70,68,8,137,83
70,68,8,137,83
70,68,9,136,83
70,69,9,136,83
70,69,9,139,84
70,69,9,139,84
70,69,10,138,84
70,69,10,140,85
70,69,10,140,85
70,69,10,139,84
70,69,10,139,84
69,68,11,138,84
69,68,10,138,84
69,67,10,137,83
69,67,10,137,83
69,67,11,138,84
68,66,11,138,84
68,66,10,138,84
68,65,10,137,83
68,65,11,137,83
68,64,11,137,83
68,64,11,136,83
68,64,11,138,83
69,63,11,137,83
69,63,10,137,83
70,62,11,137,83
70,62,11,137,83
70,61,11,136,83
71,61,11,136,82
71,60,12,136,82
72,60,12,137,83
72,59,12,137,83
72,59,12,137,83
73,59,12,136,83
73,58,11,136,82
73,58,11,136,82
72,58,11,135,82
72,57,11,135,82
72,57,12,135,82
72,57,12,135,82
71,57,12,134,81
71,57,13,135,82
71,57,13,135,82
70,57,13,135,82
70,57,12,135,82
